gene_symbol,Car13
gene_accession_id,MGI:1931322
parameter_id,IMPC_OFD_011_001
parameter_name,Periphery resting time
pvalue,0.8981898
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,fu8fqx92u975a73
