analysis_id,j75n9umirrw7q70
parameter_id,IMPC_XRY_064_001
mouse_strain,C57BL
parameter_name,Thoracic processes
pvalue,0.287847
gene_symbol,Snap23
mouse_life_stage,Late adult
gene_accession_id,MGI:109356
