parameter_name,Lean mass
gene_symbol,Abo
analysis_id,1bq29jc25p7acnd
gene_accession_id,MGI:2135738
pvalue,0.6250357
parameter_id,JAXLA_DXA_003_001
mouse_life_stage,Early adult
mouse_strain,C57BL
