parameter_id,MGP_PBI_003_001
gene_symbol,Dnajc5b
analysis_id,412g882tn90c9pf
mouse_life_stage,Early adult
gene_accession_id,MGI:1913576
pvalue,0.9630538
mouse_strain,C57BL
parameter_name,CD4+ alpha beta T cell percentage
