parameter_name,cDCs CD11b Type
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_IMM_073_001
gene_accession_id,MGI:1914309
gene_symbol,Ola1
pvalue,0.9387229
analysis_id,i05q5854i0zhq76
