parameter_name,Limb morphology
pvalue,1.079999
gene_symbol,Opn3
gene_accession_id,MGI:1338022
parameter_id,IMPC_GEP_084_001
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,op3fm8eq2km56xe
