parameter_id,IMPC_IMM_032_001
gene_accession_id,MGI:87968
mouse_life_stage,E9.5
analysis_id,s8ns0jyz39ar33u
pvalue,0.5727434
gene_symbol,Ahcy
parameter_name,CD8 CD44+CD62L- T cells
mouse_strain,C57BL
