gene_symbol,ABO
mouse_strain,C57BL
parameter_id,HRWLLA_CBC_014_001
parameter_name,Alkaline phosphatase
analysis_id,2wx45a3co3ij4z2
pvalue,0.1911836
mouse_life_stage,Early adult
gene_accession_id,MGI:2135738
