gene_symbol,Clvs1
mouse_strain,C57BL
pvalue,0.3382019
parameter_name,Difference in Cue Tone and Cue Baseline % Freezing
gene_accession_id,MGI:1921688
mouse_life_stage,Early adult
parameter_id,IMPC_FEA_106_001
analysis_id,2s803a64j3504c3
