gene_symbol,Ufc1
gene_accession_id,MGI:1913405
mouse_life_stage,Early adult
parameter_id,MGP_IMM_026_001
parameter_name,Effector CD4- NKT cells - % of CD4- NKT cells
mouse_strain,C57BL
pvalue,0.9197946
analysis_id,3eo629ht5u5m2we
