gene_symbol,Clvs1
parameter_id,MGP_PBI_009_001
mouse_strain,C57BL
gene_accession_id,MGI:1921688
parameter_name,CD4+ CD44+ CD62L- alpha beta effector T cell percentage
mouse_life_stage,Early adult
analysis_id,3gaz2lc9fr9t48c
pvalue,0.5183487
