gene_symbol,Frmpd1
mouse_strain,C57BL
gene_accession_id,MGI:2446274
parameter_name,Eosinophils - % of CD45+
parameter_id,MGP_IMM_125_001
mouse_life_stage,Middle aged adult
analysis_id,85569g6rq2u384b
pvalue,0.8999625
