gene_symbol,Mgst2
analysis_id,p54cl6cd20g08ct
parameter_name,BMC/Body weight
parameter_id,IMPC_DXA_007_001
pvalue,0.706842
gene_accession_id,MGI:2448481
mouse_life_stage,Early adult
mouse_strain,C57BL
