parameter_name,Red blood cell count
mouse_strain,C58BL
gene_accession_id,MGI:1914071
parameter_id,IMPC_HEM_002_001
gene_symbol,Bcs1l
pvalue,0.3399183
mouse_life_stage,E9.5
analysis_id,5257to3k7466cb2
