parameter_name,Lean/Body weight
gene_symbol,Slc45a3
gene_accession_id,MGI:1922082
mouse_life_stage,Early adult
parameter_id,ESLIM_005_001_702
analysis_id,y44956v3i8dijf7
pvalue,0.2739745
mouse_strain,C57BL
