parameter_name,Eye
parameter_id,M-G-P_013_001_001
gene_symbol,Tbl1xr1
mouse_life_stage,Late adult
pvalue,0.441757
analysis_id,5u02tcbpi0q3885
gene_accession_id,MGI:2441730
mouse_strain,C57BL
