analysis_id,d90026yd9at60c0
mouse_strain,C57BL
parameter_id,IMPC_IMM_052_001
gene_accession_id,MGI:95576
parameter_name,Eosinophils
pvalue,0.4638927
gene_symbol,Fpgs
mouse_life_stage,Early adult
