parameter_name,Hemorrhage
pvalue,0.4028507
gene_accession_id,MGI:1346088
gene_symbol,Cd52
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,9j8sp24yyuu3y7m
parameter_id,IMPC_GEO_009_002
