analysis_id,s5j6h02zfg40sla
mouse_life_stage,Early adult
gene_accession_id,MGI:2444777
pvalue,0.1592275
parameter_name,T cells - % of CD45+
mouse_strain,C57BL
gene_symbol,Ncaph
parameter_id,MGP_BMI_019_001
