gene_symbol,Cdin1
gene_accession_id,MGI:3026886
mouse_strain,C57BL
mouse_life_stage,E9.5
parameter_name,Stroke Volume
analysis_id,tc0b8vv9utnpcr7
parameter_id,IMPC_ECH_003_001
pvalue,0.8487518
