analysis_id,qt134585etn0jch
mouse_strain,C57BL
gene_accession_id,MGI:1917810
gene_symbol,Wars2
parameter_id,IMPC_OFD_022_001
pvalue,0.8330296
parameter_name,Percentage center time
mouse_life_stage,Early adult
