analysis_id,3w9145bm96775s0
parameter_name,Body weight
pvalue,0.2540417
parameter_id,M-G-P_009_001_003
gene_symbol,Sdcbp2
gene_accession_id,MGI:2385156
mouse_life_stage,Early adult
mouse_strain,C57BL
