gene_symbol,Ddx27
gene_accession_id,MGI:2385884
parameter_name,KLRG1+ mature NK cell percentage
analysis_id,719cj364i0t25e3
mouse_strain,129SV
mouse_life_stage,Early adult
parameter_id,MGP_PBI_011_001
pvalue,0.7106126
