parameter_name,Thoracic processes
mouse_strain,C57BL
analysis_id,7y2p827tp930cv8
mouse_life_stage,Late adult
parameter_id,IMPC_XRY_064_001
gene_symbol,Slc30a4
pvalue,0.5400543
gene_accession_id,MGI:1345282
