gene_symbol,Sprr1b
pvalue,0.3481808
parameter_name,Ventral coat/hair presence
gene_accession_id,MGI:106659
parameter_id,MGP_CSD_025_001
mouse_life_stage,Early adult
analysis_id,6e3fq3hh1nhz13h
mouse_strain,C57BL
