parameter_name,Neutrophil percentage
parameter_id,MGP_PBI_019_001
pvalue,0.4854004
gene_symbol,Frmpd1
mouse_strain,C57BL
gene_accession_id,MGI:2446274
mouse_life_stage,Middle aged adult
analysis_id,94xle64t008110y
