analysis_id,1z09i58x6i6632l
pvalue,0.5303713
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Monocytes
gene_accession_id,MGI:1925049
gene_symbol,Sla2
parameter_id,IMPC_IMM_051_001
