analysis_id,0864920810ylg2l
mouse_life_stage,E9.5
pvalue,0.405763
gene_accession_id,MGI:1924315
gene_symbol,Ints7
parameter_id,IMPC_DXA_003_001
mouse_strain,C57BL
parameter_name,Lean mass
