parameter_id,TCPLA_XRY_033_001
pvalue,0.3542961
gene_accession_id,MGI:1914071
analysis_id,uf45e5qe858zccm
gene_symbol,Bcs1l
parameter_name,Tibia length
mouse_life_stage,E9.5
mouse_strain,C57BL
