gene_symbol,Kdm4c
pvalue,0.0694437
gene_accession_id,MGI:1924054
analysis_id,345q7zp2220n48z
parameter_name,Eosinophils - % of CD45+
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,MGP_IMM_125_001
