gene_symbol,Atrn
parameter_name,Zygomatic bone
mouse_life_stage,Early adult
parameter_id,IMPC_XRY_002_001
gene_accession_id,MGI:1341628
pvalue,0.5355739
mouse_strain,C57BL
analysis_id,i4yw6udk652669n
