analysis_id,61l108742i6176e
pvalue,0.3803152
mouse_strain,C57BL
parameter_name,Aggression
mouse_life_stage,Early adult
parameter_id,IMPC_CSD_079_001
gene_accession_id,MGI:1923029
gene_symbol,Dnaaf9
