analysis_id,p6wsmi099zgvu41
parameter_name,Ulna
gene_symbol,Sema6c
mouse_strain,C57BL
gene_accession_id,MGI:1338032
mouse_life_stage,Early adult
pvalue,0.2747738
parameter_id,IMPC_XRY_023_001
