analysis_id,s8zx7k3hap437w9
parameter_id,IMPC_HEM_039_001
mouse_life_stage,E12.5
gene_symbol,Hspa5
mouse_strain,C57BL
pvalue,0.4101801
parameter_name,Large Unstained Cell (LUC) count
gene_accession_id,MGI:95835
