gene_symbol,Ahcy
mouse_strain,C57BL
parameter_name,Fusion of vertebrae
gene_accession_id,MGI:87968
pvalue,0.8968871
analysis_id,u3s7153y36lrxea
parameter_id,M-G-P_006_001_026
mouse_life_stage,E12.5
