gene_symbol,Ddx27
parameter_id,TCPLA_XRY_033_001
pvalue,0.1272017
mouse_life_stage,Early adult
analysis_id,18095506xs26y8o
parameter_name,Tibia length
mouse_strain,129SV
gene_accession_id,MGI:2385884
