analysis_id,2n66au272xrwlis
gene_symbol,Mov10
pvalue,0.3943101
gene_accession_id,MGI:97054
mouse_life_stage,Early adult
parameter_name,Startle Response
mouse_strain,C57BL
parameter_id,M-G-P_008_001_013
