gene_symbol,Lime1
parameter_name,Alanine aminotransferase
parameter_id,IMPC_CBC_013_001
mouse_strain,C57BL
gene_accession_id,MGI:1919949
mouse_life_stage,Early adult
pvalue,0.8396944
analysis_id,b8483c9g4n50qq7
