analysis_id,6m51x8242spp0ce
mouse_strain,C57BL
parameter_id,MGP_IMM_007_001
gene_symbol,Bach2
parameter_name,Resting CD4+ T helper cells - % of CD4+ T helper cells
gene_accession_id,MGI:894679
mouse_life_stage,Early adult
pvalue,0.6458673
