analysis_id,2cupd95892nak27
gene_accession_id,MGI:1927379
mouse_strain,C57BL
gene_symbol,Rhbg
parameter_name,Naive CD8+ T cells - % of CD45+
parameter_id,MGP_MLN_076_001
mouse_life_stage,Early adult
pvalue,0.4991635
