parameter_id,IMPC_ABR_002_001
mouse_life_stage,Early adult
gene_symbol,Ap5s1
pvalue,0.7223268
mouse_strain,C57BL
gene_accession_id,MGI:1916846
analysis_id,d5zkc4qb3q1r88d
parameter_name,Click-evoked ABR threshold
