gene_symbol,Ilkap
analysis_id,417316m9t8sf31d
pvalue,0.1644681
parameter_id,IMPC_DXA_010_001
mouse_strain,C57BL
parameter_name,Bone Area
gene_accession_id,MGI:1914694
mouse_life_stage,Early adult
