analysis_id,7i85s6628j5s5s3
gene_symbol,Kdm5b
mouse_strain,C57BL
parameter_id,JAX_OFD_017_001
gene_accession_id,MGI:1922855
pvalue,0.755485
parameter_name,Center average speed
mouse_life_stage,Early adult
