gene_symbol,Arpc2
gene_accession_id,MGI:1923959
mouse_strain,129SV
analysis_id,vl3ggs8hj6o4c6s
mouse_life_stage,Early adult
parameter_name,KLRG1+ NK cells - % of CD45+
pvalue,0.9124441
parameter_id,MGP_MLN_093_001
