parameter_name,Retinal Blood Vessels Pattern
mouse_strain,C57BL
gene_symbol,Slc39a10
mouse_life_stage,Early adult
pvalue,0.1556936
gene_accession_id,MGI:1914515
parameter_id,IMPC_EYE_026_001
analysis_id,96exl75p5b2q00g
