analysis_id,53v3kkqh8f4tz4y
gene_symbol,Trdmt1
mouse_strain,C57BL
gene_accession_id,MGI:1274787
mouse_life_stage,Early adult
pvalue,0.3784629
parameter_name,Coat - color pattern - back
parameter_id,HRWLLA_CSD_008_001
