parameter_name,Alkaline phosphatase
parameter_id,IMPC_CBC_014_001
gene_symbol,Cntfr
gene_accession_id,MGI:99605
mouse_life_stage,Early adult
analysis_id,3zv064144i6n1y3
mouse_strain,129SV
pvalue,0.9087185
