parameter_name,Retinal Blood Vessels Structure
mouse_life_stage,E12.5
gene_symbol,Dmap1
pvalue,0.5753112
parameter_id,IMPC_EYE_025_001
mouse_strain,C57BL
gene_accession_id,MGI:1913483
analysis_id,77d5h8bewjp8ve9
