gene_symbol,Tmem203
parameter_id,IMPC_EYE_092_002
pvalue,0.07905502
analysis_id,2z6a6sn752052j1
mouse_strain,C59BL
gene_accession_id,MGI:2443597
mouse_life_stage,Early adult
parameter_name,Retina (combined)
