analysis_id,x8i24p3k6z203ys
parameter_id,IMPC_CAL_008_001
mouse_strain,C57BL
mouse_life_stage,Middle aged adult
gene_symbol,Lpgat1
gene_accession_id,MGI:2446186
pvalue,0.6187552
parameter_name,Total food intake
