parameter_name,HDL-cholesterol
gene_accession_id,MGI:1931322
parameter_id,HMGULA_CBC_016_001
gene_symbol,Car13
analysis_id,76zi0s93p677h85
mouse_life_stage,Early adult
pvalue,0.1786364
mouse_strain,C57BL
