gene_symbol,Nemp2
gene_accession_id,MGI:2444113
parameter_id,IMPC_CSD_030_001
pvalue,0.6734829
analysis_id,7u1j3v932xubwdf
parameter_name,Tremor
mouse_life_stage,Early adult
mouse_strain,C57BL
