analysis_id,2s99i78r369xllk
mouse_life_stage,Late adult
gene_accession_id,MGI:109128
parameter_name,Weight
parameter_id,CCP_LFO_001_001
mouse_strain,C57BL
pvalue,0.4250341
gene_symbol,Hnf4a
