analysis_id,44n6h34fl3o6q78
parameter_id,IMPC_CSD_079_001
gene_accession_id,MGI:1914672
mouse_strain,C57BL
parameter_name,Aggression
pvalue,0.3902668
mouse_life_stage,Early adult
gene_symbol,Dhdds
