gene_symbol,Grem2
parameter_id,JAXLA_CSD_041_002
mouse_life_stage,E18.5
parameter_name,Hindpaw - size
pvalue,0.5085367
gene_accession_id,MGI:1344367
mouse_strain,C57BL
analysis_id,1a063wc9n3147f6
