analysis_id,1r599xo2241sfu6
gene_symbol,Exd1
mouse_strain,C57BL
parameter_id,IMPC_CSD_007_001
mouse_life_stage,Early adult
gene_accession_id,MGI:3045306
pvalue,0.1728944
parameter_name,Coat - color - abdomen
