pvalue,2.25249e-05
gene_symbol,Arpc2
mouse_life_stage,Early adult
parameter_id,M-G-P_016_001_005
analysis_id,iv3w3nj0z8ws9bl
gene_accession_id,MGI:1923959
mouse_strain,C57BL
parameter_name,Mean-cell-volume
