gene_symbol,Atf3
parameter_id,JAX_ROT_002_001
gene_accession_id,MGI:109384
mouse_strain,C57BL
parameter_name,Average duration
mouse_life_stage,Early adult
analysis_id,x41377f24808v3d
pvalue,0.7404058
