analysis_id,d81272x1g0av22h
Parameter_id,MGP_PBI_040_001
Gene_accession_id,MGI:88461
Pvalue,0.6910945
parameter_name,Eosinophil number
Gene_symbol,Col6a3
mouse_life_stage,Early adult
Mouse_strain,C57BL
