analysis_id,813o9wrj2ud0586
parameter_name,Body weight
mouse_life_stage,Middle aged adult
mouse_strain,C57BL
parameter_id,M-G-P_009_001_003
pvalue,0.1319714
gene_accession_id,MGI:1917604
gene_symbol,Secisbp2l
