analysis_id,19v13v1dt4w0d1y
gene_accession_id,MGI:1345282
gene_symbol,Slc30a4
pvalue,0.4215158
mouse_strain,C57BL
parameter_name,Lens Opacity
parameter_id,IMPC_EYE_017_001
mouse_life_stage,Early adult
