analysis_id,56h5top0fzo4h35
mouse_strain,C57BL
pvalue,0.7335211
parameter_id,MGP_MLN_067_001
mouse_life_stage,Early adult
parameter_name,Resting CD4+ T helper cells - % of CD45+
gene_accession_id,MGI:1914944
gene_symbol,Ift74
