gene_symbol,Rab22a
gene_accession_id,MGI:105072
mouse_strain,C57BL
analysis_id,k932gf07fs43q68
pvalue,0.2752527
parameter_name,Plasmacytoid DC - % of DC
parameter_id,MGP_MLN_058_001
mouse_life_stage,Early adult
