analysis_id,y36qc51802r5298
gene_accession_id,MGI:2444114
pvalue,8.571256e-05
gene_symbol,Zcchc2
mouse_strain,C57BL
parameter_name,BMC/Body weight
parameter_id,IMPC_DXA_007_001
mouse_life_stage,Early adult
